"Frequency","Observed","Expected","Pearson_Residual"
3,2,1.067,0.903
4,4,2.633,0.843
5,4,5.251,-0.546
6,5,8.853,-1.295
7,15,13.029,0.546
8,17,17.169,-0.041
9,22,20.681,0.29
10,33,23.159,2.045
11,16,24.443,-1.708
12,17,24.587,-1.53
13,24,23.795,0.042
14,27,22.36,0.981
15,21,20.615,0.085
16,20,18.875,0.259
17,23,17.381,1.348
18,16,16.262,-0.065
19,11,15.515,-1.146
20,13,15.03,-0.524
21,14,14.637,-0.166
22,9,14.162,-1.372
23,14,13.473,0.144
24,9,12.508,-0.992
25,10,11.276,-0.38
26,7,9.844,-0.906
27,10,8.311,0.586
28,38,6.785,11.984
